レースID,1コーナー,2コーナー,3コーナー,4コーナー
201005010306,"(*10,15)1,16,5,12(3,11)(7,14)2,13,6(9,8)-4","15-10(1,16)(5,12)(3,11)14(2,7,13)(6,9,8)-4","15(16,12,11)(10,4)(5,13)(1,14)3(2,7,8)9-6","(*15,16)12(10,5,11)(1,13,4)(7,3,14)(2,9,8)6"
201005010307,,,"(2,*16,15)5,1,14(6,13)11(3,12,7)(9,8)-10   4","(*2,16)(15,5)1(14,13)6(11,7)(3,12)8-(9,10)   4"
201005010308,"2=(14,9)(4,8,7)6(5,13)1,12   11,3,10","2=9-14(8,7)4,6,5,13(12,1)   11,3,10","2=9=4(5,14)6,8,13,12,7   1,11,3,10","2=9-4,5-(6,14)(13,12)8=7   1,11,3,10"
201005010309,,,"(*16,13)(5,6,12)10(1,3)(8,15)7(4,9)11,2,14","16,13(5,10)6(1,12)8(4,3)(7,15)(2,11,9)-14"
201005010310,"(*16,11)13(6,10)(8,12)1,7,9(2,5)(3,4)(14,15)","16,11(6,13)12(10,8)1(7,9)(2,5)4-3(14,15)","16,11(6,13,12)10(1,8)(2,9)(3,7)(5,4)(14,15)","(*16,11)(6,10,13,12)1(2,8)(3,7,9)14,15-5,4"
201005010311,,"2,10(5,9)7(3,11)6,4,8(1,12)","(*2,10)(9,1)5(3,7)11(4,6)(12,8)","(*2,10,1)(5,9,7)(4,6,3,11)(12,8)"
201005010312,,,"2,11(1,9)12(4,3,10)(5,13)6,16,7(14,15)8","2,11(1,9)12(4,3)10(5,13)6(7,16)15,14,8"
201005010401,,,"(*8,14)(9,12)(5,10,11,16)13,4-(3,6)(2,15)1-7","(*8,14)12,9(11,16)(5,10,13)(4,6,15)3,2,1,7"
201005010402,"5,6(8,11)(3,14)2(1,10,16)(7,9,13)(4,12)-15","5,6,8(3,2)11-(1,14)10,7(9,16)13,4,12-15","5,6,8(3,2,11)-1,14(7,16)10,13(9,4)12,15","5,6(2,8)3(1,11)-(7,16)(14,13)10(9,12)(15,4)"
201005010403,,,"1,2(4,5)16,9(6,12)13,3(7,15)-10,14,11-8","1(2,5)(4,16)(9,12)(6,13,15)7,3-14,10,11-8"
201005010404,"8-1,6,12,2,13(4,10)7=(11,9)-5,14   3","8=1-(6,12)2(13,10)4,7=9,11-5,14   3","8-(2,1)=(7,13)10=12,4,6,11-9,14-5   3","(8,*2)-1-7=13-10=(11,4)-14=9-(6,5)   12,3"
201005010405,,,"(*4,6)(2,8)(9,10)(1,13)5(11,15)(3,7)12,16-14","4,6(2,8)(9,10)(1,5,13,15)(3,11,12)7,16-14"
201005010406,,,"6,16(3,13,15)(1,9)(8,11)(5,10)(7,12)14,4,2","6,16(3,13,15)(1,9)11(5,8)(10,12)7,14(2,4)"
201005010407,,,"12,13(5,9,11)(1,10)(8,7)(2,6)4   3,14","12,13,11(5,9)(1,10)7(8,2)6,4   3,14"
201005010408,,,"4(9,3)12(1,2,6,16)(5,10,14)(7,8,11,13)-15","(*4,9)3(1,12)(2,6)(7,16)5(10,14)8(11,13)15"
201005010409,"5,7,10(3,13)(6,8)12(9,11)(2,4)1","5,7-10(3,13)(6,8)12(9,11)-(2,4)-1","5(7,10,12)(3,13)8,6,11-(9,4)2,1","(*5,7)-(3,13,12)6(10,8)11,4(9,2,1)"
201005010410,,"(6,*7)(9,11)5(1,3,10)(8,12)(2,4)","7,6(9,11)5(1,3)(8,12)(2,10)-4","(*7,6)11(9,5)3(1,8,12)(2,10)-4"
201005010411,,"(*1,6)(4,5)10(7,9,13)11(2,3)8,12","1,6(4,5)(7,9,10,13)(2,3,11)-8,12","1,6(4,5)(9,13)(7,3,10)11(2,12,8)"
201005010412,,,"9(3,11)1,14,2(5,12)(7,10)15(4,6,13)-16-8","9(3,11)14,1,12(2,6)(7,5,15)(10,13)(4,16)-8"
201005010501,,,"11,7(2,5)(8,16)4,15,1(3,13)6(9,14)12-10","11,7(2,5)16(4,8,15)(1,3,13)6(9,14)12-10"
201005010502,,,"16(7,8)10,4(13,14)9(6,12)-3(1,15)2,11-5","16(7,8,10)(4,14,9)13(6,3,12)(1,15)-11,2-5"
201005010503,,,"15,12,11(6,7,14)(5,4,13)9(1,3)(8,16)2=10","15,12(6,11)(7,14)(5,4,13)9(1,3,16)2,8-10"
201005010504,,,"2,9(6,11)(5,7)(10,12)(1,3)(14,16)4,13(8,15)","2(5,9)11(1,7)(6,12)(3,16)10(4,14)15(8,13)"
201005010505,,"(3,4,*13)(5,14)(1,7,9)(2,6,10)8(12,15)11-16","(*3,4,13)1,5(2,14)7(6,9,15)8(11,10)-12-16","(*3,4)13(1,5)2(7,14,15)6(8,9)(11,10)12-16"
201005010506,,,"9(11,13)(1,12,14)(3,15,16)6(10,8)(2,7)5-4","9,11(1,13)(12,14)3(10,16)(6,2,15)(5,7)8,4"
201005010507,,"13(4,5,8)-6,7,1,3(2,11)10-(9,12)","13,8-(4,5)(6,7)(1,3,11)9(2,10,12)","13,8-(4,5)(6,7,12)(1,10,3,11)9,2"
201005010508,,,"(*8,10)(1,7)(6,12)(3,16)(4,9)(2,14)11-(5,13)-15","(*8,10)(1,7)(3,6,16)12(2,4)(14,9,11)(5,13)15"
201005010509,,,"6,15(1,2)(4,9)(7,16)(3,5,11)(10,8)12,13,14","6,15(1,2)4-(3,9)(7,16)(5,11)(10,8,12)-13,14"
201005010510,,,"2(3,4,13)(8,7,14)(6,10,11,16)(1,5,12)15,9","2(8,3,4,13)7(6,10,11,14)16(1,5,12)(9,15)"
201005010511,,,"9(7,8)6(3,12,13)(2,10,16)(14,15)(1,11)-(4,5)","9(7,8)6(3,12,13)2(10,15,16)1(11,14)(4,5)"
201005010512,"9,13(3,14)6(1,8,15)(7,11)(4,10)-16-(2,5)-12","9,13(3,14)(6,8,15)(1,7,11)-(4,10)=16-(2,5)12","9(13,14)(3,6,15)(8,11)(1,7,10)(4,16)-5,2,12","9(13,14)(15,11)(3,6,8)(1,7,10)(4,16,2)(5,12)"
201005010601,,,"8(2,7)-9(1,13)(3,14)(4,5)15(11,10)(12,16)6","8,7(2,9)13(1,14)(3,5)-15,10,16(11,12)4,6"
201005010602,"(*5,6)7(4,12,14)(10,15,16)(3,13)1,11-8(2,9)","5,6,7(4,10,14)(12,15)(3,13,16)-(1,11,8)(2,9)","(5,*6,9)-(7,10)(4,14,15)(12,8)13(11,16)-(3,1)2","(*5,6)(7,9)10,4(14,15)(12,8)(13,11)-1-(3,16)2"
201005010603,,,"(*8,10)(3,12)(5,15)(2,16)(4,13)14(1,11)(6,9)7","(*8,10)(3,12)(5,15)2,16-4(1,14,13)11(6,9)-7"
201005010604,"(*1,3)12,8(6,10)11(5,2)-9,4=7","(*1,3)(12,8)6(11,10)5,2(9,4)-7","(*1,8)12,3,11,6-10,4-(5,2)-9,7","(1,*8)12(11,3)6-4,10,5,2-9-7"
201005010605,,"(*9,16)-(7,11,12)15,8-5(2,6)(1,14)3-4-(10,13)","9,16(12,15)(7,11)(8,5)(2,6)(3,1,14)-4,13=10","9(16,12,15)7,11(8,5)6(3,2,14)1(4,13)=10"
201005010606,,,"3-5(1,10)(7,11,14)4(2,13)12,6-15-9,8","3-5(1,10)(7,11,14)4,13(2,12)6(15,8)9"
201005010607,,,"6(2,14)(3,15)1(5,9)(12,16)(4,7)11,10(8,13)","6,14,2,15(1,3)16(5,9,12)4(7,11)-10,13,8"
201005010608,,,"15,14(6,7)10(4,11,12)(3,5,8)(1,9)13,2","(*15,14)(6,7)(4,10)(11,12)(3,8)5(1,9)(2,13)"
201005010609,,,"1,2(3,4)(5,6)(8,10,11)(9,12)7","1,2(5,3,4)(8,6)-(9,10,11)(12,7)"
201005010610,,,"6(4,3,10)(8,13)1(2,16)(5,14)15,7,12(11,9)","6,3(4,10)(8,13)1(2,16)(5,14)7,15,12,9-11"
201005010611,"2,1-5,3(14,16)6-11,7-(10,13)(9,15)8-12   4","2(1,5,14)(3,16)6-(11,7)-(10,13)(9,15)-8,12   4","2,5(1,14)(3,16)(6,11,7)(10,13,15)(9,8)12   4","(*2,5)(1,14,11)16(3,6,7)(10,13)9(8,15)12   4"
201005010612,,,"(*4,12)(1,14)(3,6,8)7,15(9,16)(5,11)13(2,10)","(*4,12)(1,3,14,8)(7,6,15)16(5,9)11(2,10)13"
201005010701,,,"3(2,6,9)(4,10)(7,11)8(12,13)1(14,16)(5,15)","(*3,6)9(2,4)10,8(7,11)(1,12)(15,13)16(5,14)"
201005010702,,,"(*3,16)11(4,9,12)(1,13)(2,8)14,7(6,10)-5-15","3,16,4,11,9,12(2,1,13)(8,7)(6,5)14,10,15"
201005010703,,,"(*14,15,16)(12,1,11)-13,9(6,7)(5,8)2-10(3,4)","(*14,15)16(12,1,11)13(9,6)7-8(2,5)(10,4)-3"
201005010704,"14,12-(6,3)(10,4)-2,5-(8,9)1=7=11,13","14,12(6,3)(10,4)2,5-(8,9)-1=7=11,13","(*3,12)(14,10,4)2,6=8,1,5=7=9=(11,13)","3-(4,12)(10,2)14,6(8,1)-5-7=9=11,13"
201005010705,,,"7,14(2,3)(1,9)(13,15)(8,10,11)4,6(5,12)","7,14,2,3,1(9,15)13(8,10,11)6(5,12)-4"
201005010706,,"(5,6,*8)-(1,7,11)(4,15)(2,3,10,13)-(9,14)-(12,16)","8-6-(5,11)(7,15)1(10,13)(4,2)-3(9,14)=12=16","8,6,11,15(5,7)(10,13)(1,4,2)(3,14)9=12=16"
201005010707,,,"(*3,5)6(4,8)7(1,14)(10,9,12,15)13-11   2","3(5,6)(4,8)7(1,14)12(9,15)(10,13)11   2"
201005010708,,,"16(10,11)12(2,5,9,13,14)(6,7)8,15,1(3,4)","16,10(2,5,12)(11,14)(9,13)(6,7,15)(8,1)(3,4)"
201005010709,,"1(7,9)11,14(3,8,10)12(2,13)5,4-6","1(7,9)(8,10,11)3,14(2,12)13(4,5)6","1,7,9(8,10,11)3(12,14)(2,5,13)(4,6)"
201005010710,,"6,1(4,2)-(7,5)-9-3-10-8","6,1(4,2)-7,5,9,3-10,8","6,1(4,2)7(9,5)3-10-8"
201005010711,,,"12,9,1,5(4,2,15)13(3,16)(6,11)(7,8)10,14","12(1,9)(4,5)(3,2,15)16(7,13,11)(6,8)(10,14)"
201005010712,,,"10,13(6,16)(4,11,12)1(9,14,15)3,5,8(2,7)","10(13,16)12(6,4,11)(14,15)(1,9,5,8)(3,7)2"
201005010801,,,"8,9(6,13)11(2,12)14(10,15)5-16,4-7,3-1","(*8,9)13,6,11(2,12)10(5,15)14-(16,7)(4,3)1"
201005010802,"11(8,10)4(5,9,12)(1,2,16)(6,13,14)(3,7,15)","11(8,10)9,12(4,5)16(1,2,6,14)-(3,7,13)15","11,10(8,12)9,4,16(2,5,14)(1,3,7)13,6,15","(*11,10)(8,12,4)14(9,5)(2,16)-(1,3,7)-(15,13)6"
201005010803,,,"10,12(3,6,13,14)16(4,11,5)2(8,15)-7-1   9","10,12(3,13)(6,16)(4,11)(2,5)(8,14)(7,15)-1   9"
201005010804,,,"(*1,4)(7,15)(10,13,14)-11,6=9-3-8=2=12   5","(1,*4)15(10,14)(7,13)-11-9-6-3-8=2-12   5"
201005010805,,,"5,8(3,12)(4,7,16)(15,9)(1,2)(10,14)6(11,13)","5(8,12)3,16(4,7)9(1,15)(2,10,14)6(11,13)"
201005010806,,"(5,*12)4(10,14)(3,9,11)7(6,13)1(2,15)16,8","12=5,14,4,10(3,11)(9,7)(1,6)(2,13)16(8,15)","12,5,14(4,10)(3,11)9(1,7)6(2,13)(15,16)8"
201005010807,,,"1,7,3,14,6(10,12)(4,5)(9,8)(13,15)11,2","1,7,3,14-6,12(10,5)4(9,8)(2,13)15-11"
201005010808,,,"2(1,5,14)(4,10)(3,11)(6,12)15(8,7)(13,9,16)","2(5,14)1,4-(3,10)(6,11,15)12(8,7,16)9,13"
201005010809,,"(*3,4)(7,10)(2,5)(11,14)(1,12)(9,13)(6,8)","(*3,4)-(2,7)-(5,10)(12,11)14,13,8(1,9)6","(*3,4)-(2,7)(12,5)(13,11)10(14,8)(1,9)6"
201005010810,,,"7-9(4,10)15(3,11,13)(8,12)1(14,6)2-5","7,9,4-(3,10,15)(11,13)(1,8)12(2,14,6)-5"
201005010811,,,"13,4-(2,8)(1,6)(3,5,7,9,14)(11,12,15,16)   10","13,4(2,1,8,6)(3,7,14)(5,9,12)(11,15)16   10"
201005010812,,,"(*3,4,9)(12,16)(2,7)(5,14)(1,15)(8,13)6,10,11","3(4,9)(2,12,16)(1,7,5)(14,15)13(10,11)(6,8)"
201005020101,,,"(*5,9)10(7,12)8,4,15,3(2,6)(1,14)11=13","(*5,9)(7,10,12)8(4,15)(3,2,6)-(1,11)-14-13"
201005020102,,,"(*8,9)(3,11)7,4(5,1)(6,12)(2,10)","(8,*9)11(3,7)4(5,1)12,6(2,10)"
201005020103,,,"(*4,6)(2,7)(1,10)3(8,11,16)(9,15)(5,14)13=12","4,6,2(7,10)1,16(8,3)(11,15)(9,14)(5,13)-12"
201005020104,"(*10,9)-5(2,12)-(13,14)-(7,8)11=6(4,3)=1","10,9-5(2,12)14(13,8)-(7,11)-6-3,4,1","10-9-(5,8)2,13-7,11=14=12=3-4=1   6","10-9-(5,8)-(13,2)=7,11=14=12-3-4   1,6"
201005020105,,"(1,*8)7,11,6(2,10)(3,12)(5,14)4,13,9","8,7(1,11)(6,10)(2,3)(14,12)(5,4)-13-9","8(7,11)(1,6,10)(2,3,12,4)(14,5,9)13"
201005020106,,"(*3,4,11)5,10,6(2,8,9)-(1,7)","(*3,11,8)(4,6)(10,9)(5,7)(2,1)","(*3,11,8)(4,10,6)(5,7,9)(2,1)"
201005020107,,,"(*7,9)(3,13)(5,16)4,11(2,14)(1,6)(10,15)-12,8","(*7,9)(3,13)16,5-(4,11)14,2(6,15)1-10(12,8)"
201005020108,,,"7(5,11)9(4,13)(8,17)(3,14)(2,15)1-10,6,12-16","7(5,11)9(4,8,13)(3,14,17)(2,15)1,6,10,12,16"
201005020109,"9-10(3,12)6(2,8)5(1,11)4-7","9-10,12(3,6)8,2(5,11)1,4-7","9,10(3,12)6,8-11,2,5-(1,4)-7","9,10(3,12)(6,8)(2,11)5,1-4,7"
201005020110,,,"16,2,4,3(8,11)(9,12)14(6,10)5,7,13(1,15)","16(2,4)(3,11)8(6,10,9)5,12(7,14)13,1,15"
201005020111,"2(6,9)(5,10)7(14,8)(4,13)-12-1-11-3","2,9,6(5,10)(7,14,8,13)4-12,1-11-3","(*2,9)(6,10)(5,8)(14,13)7(4,1)(12,11)-3","(*2,9)10(6,8)(5,14,13)7(4,1)(12,11)-3"
201005020112,"(*10,14)15(4,5)12,7(2,6)(1,9)(3,11)16,8-13","10(14,15)(4,5,12)2(7,6)9(1,3)11,16,8,13","(*10,14)15(4,5,12)-(2,7,6)(1,3,9)16,11(8,13)","(*10,14,12)15(4,5)(2,7,6)(1,3,9,16)(13,11)8"
201005020201,,,"7,8(11,15)(1,2)(4,5,10)(9,13)(3,6,14)(12,16)","(*7,8)(11,15)-(1,2)(4,5)(9,10)-(3,13,14)(12,6)-16"
201005020202,,,"1-3-5,4(2,10)13(12,14)9,6(8,15)-7,11,16","1-3(5,4)(2,12,10)(9,13)(6,14)(8,15)(11,7)-16"
201005020203,"(*3,12)8(1,9,13)(4,5,6)11-10(2,14)=7","3,12-(8,13)(1,9,6)(4,11)-(5,10)-14,2-7","3(12,6)8(9,13)(1,4,11)10(5,14)-2,7","(3,*12,6)(8,13)9(1,11)4,10(5,14)-2-7"
201005020204,,,"(*1,4)(5,7)(6,9)(2,3)11(8,12,15)14,13,18,10,16,17","(*5,1)4,7(2,6,9)(12,11)(13,14,15)3(8,16,18)-(10,17)"
201005020205,,,"4,5(13,14)(6,12)16(2,15)8,10,11,7-(3,9)-1","(*4,5)(13,14)(6,12,16)-(2,8,15)(11,10)7,9-3,1"
201005020206,,,"5,9,3-6(2,8)(10,14)12(1,7,15)13,4,11","5,9,3-6(2,8)14(1,10,12)15(7,13)(4,11)"
201005020207,,"8,12,3,10(2,9)11(1,4)(5,7)-6","8,12,3,10-(2,9)(1,11)(4,7)(6,5)","(*8,12)3,10(2,9)(1,11)(4,7)-(6,5)"
201005020208,,,"(*2,14)(4,12,7)8,3(5,11,9)-10-1-6,13","(*2,7)-(14,12)(4,3,9)8(5,11)10-(1,6)-13"
201005020209,,"6(10,11)7,5,9,8-(1,4)(2,3)","(*6,11)(7,10)8(5,9)(3,4)1,2","6(11,10)(7,8)(5,4)(3,9)1,2"
201005020210,,,"7-(2,11)(5,18)10,4,14,13(9,15)16(6,17)8-(12,1)3","7(2,11,18)(5,10)(4,14)(9,13)(6,15)-16(12,8)17(1,3)"
201005020211,,"5(16,15)3(7,14)(2,9,10)(4,11)8(1,12)-13   6","5(16,15)(7,14)(3,9,10)2,11(4,8)12,1,13   6","5,15(16,14)7(3,9,10)(2,8,11)(4,12)1,13   6"
201005020212,,,"10(8,15)(3,16)6,13(4,5,12)2(7,11,14)(1,9)","10(8,15)(3,6,16,12)13,5,4(7,11,14)(2,9)1"
201005020301,,,"8,4,9(1,10)11,2,12(3,14)15,5,13-7=6","(*8,4)-9(1,11,10)(2,12)(3,14)(5,15)(7,13)-6"
201005020302,,,"10(3,9)(6,7)5-(4,11)2,8,1","(3,*10)-(5,9)7-(2,6)(4,11)(1,8)"
201005020303,,,"7=(1,8)-(2,12)-10-(6,9)4(3,11)(5,15)13-14","7-(1,8)-(2,12)-10-6,9,4-3(11,15)(5,13)=14"
201005020304,"13-6-12-(5,7)-9,4(10,14,11)(2,1)=8=3","13,6(12,5,7)(9,4)(10,14,11)(2,1)=8=3","7,13-(6,5)(12,4)(9,1)14-11,2-10=8=3","7-13(6,5)4,1,12-9,14(11,2)=10=8=3"
201005020305,,,"9=5(2,4,13)-(8,16)(3,6,15)(1,7,12,14)-11-10","9=5(2,13)4-(8,16)(6,15)3(12,14)(1,7)-(10,11)"
201005020306,,,"4,9(2,3,17)(1,5,12)(6,14)(10,16)8-(11,13)-7(15,18)","4,9(2,17)(3,12)(1,5,14)(6,16)(8,10)13(11,7)=15,18"
201005020307,,"1(2,3)9-(4,7)(8,10)5,6","1(2,3)9,4-(7,10)-(5,8)-6","1(2,9)3(4,10)7(5,8)-6"
201005020308,,,"1(10,11)(3,6,8,14)5(7,16)4,13,12,2-(9,15)","(*1,10)(3,6,8,11,14)(7,5,16)(4,13)(9,2,12)-15"
201005020309,,,"2,14(7,12)(8,9)5(6,10)(1,13)11-3,4","2(14,12)7(8,9)(5,10)6(1,11,13)4,3"
201005020310,,"1(6,18)(2,7,13)(3,4,16)10,15(5,8,17)(14,11,9,12)","1(6,18)(2,7,13)(3,4,16,12)(8,10)15(5,17)(11,9)14","(*1,6,18,13,9)(2,7,4,10,16)(3,12)8(5,11,15,17)14"
201005020311,"(*8,9)18(6,16)11(4,14)(2,12)(5,7,10)-(3,17)(13,15)1","8,16,9(6,18)-11,4(2,14)(5,7,10,12)-(3,17)(13,15)1","8(16,9,1)(18,14)(6,11)12(4,2)(5,10)(3,7)(17,15)13","(*8,1)(9,14)(18,12)(16,11,2)(6,5,10)(4,13)(3,17,7)-15"
201005020312,,,"1,12(2,15)11,16(5,14)6(3,13)-(9,10)7-(4,8)","1,12(2,11,15)16(5,14,13,10)(3,6)(9,7)-(4,8)"
201005020401,,,"4,5(9,12)14(2,7)(1,3,10)11(6,8)13","4,5-(9,12)14-7(2,10)3(1,11)(6,8)13"
201005020402,,,"10,7,4(3,1)(2,6)-(5,9)11,8","(*10,7)4(3,1)(2,6)(5,9)-(8,11)"
201005020403,,,"1,8(4,6,7,11)(3,10,14)5,16,17,9,12(2,15)18,13","1(8,7)(4,6,11)(10,14)(3,5)16(9,12,17)-(2,15,18)-13"
201005020404,"5(6,9)(8,12)(1,14)-(13,4)-(2,11)-3-10   7","5,9,6-(8,12)(1,14)-(13,4)(2,11)-3,10   7","5-(6,9)(1,8,12)4,13(2,14)-3-11=10   7","5(6,9)(1,8)-(13,12)-4(2,14)-3=11=10   7"
201005020405,,"4,6,2(1,5)7,11,3,8-(9,10)","(*4,6)(2,5)(1,7)3(11,10)(9,8)","4,6(2,5)(1,3,7)(11,10)(9,8)"
201005020406,,,"(1,*16)(4,9)(7,14)-8(5,12,15)11(3,13)6(2,10)","1(16,4)9(7,14)(5,8,15)(3,12,11)(2,6,13)10"
201005020407,,,"12,14(3,15)(13,16)(11,9,10)(7,6)8(1,4)(2,5)","12,14(3,15)(13,16)(11,9,6,10)7,8(1,4)(2,5)"
201005020408,,,"4,18,5(3,17)13(9,12)(8,7)(2,15)(1,11)10(6,16)14","(*4,18)-5(3,17)(9,13,7)12,8(2,15)1(10,11)6,16-14"
201005020409,"8-4(2,13)6,3(1,10)14(9,5)-(11,12)7","8(4,6)(2,13,3)(1,10,14)5,9-(11,12)-7","(*8,6)(4,3)13(2,14)10(1,5)9(11,12)7","(*8,6)(4,13,3)14(2,10,5)12(1,9)(11,7)"
201005020410,,,"3(10,15)-(4,9)11(6,13)(1,12)(2,7,8)(5,14)","(*3,10,15)-(4,9)11(6,13)(1,12)(2,7,8)(5,14)"
201005020411,,"(4,*11)(3,5,12)(7,9,13)2,15,10(1,8,14)6","11,12(4,13)(3,5)(2,9)7(1,10,15)(8,14)-6","11,12,13(4,3)5(2,9)(7,10)(1,8,15)14-6"
201005020412,,,"6,7(9,13)(5,11)8(2,12)4(1,10)3","(*6,7)(9,13)11(5,8)(2,4)(1,12)10,3"
201005020501,,,"(*4,13)14,6(8,10)(2,12)3(11,5)-7,1   9","(*4,13,14)(6,10)12,8(2,3,5)11,7,1   9"
201005020502,,,"6,9(5,13)16(11,14)(2,3)7,8(4,12)(1,10)15","6,9-(5,3)(14,13,16,2)-8,11-7,12,4(1,10)15"
201005020503,,,"2,10,8,11(1,7)(4,5,6)(3,9)","2,10(8,11)(1,7)5(4,6)3,9"
201005020504,"11=12=9-6=4(8,14)-7-1,13=10,2-(5,3)","11-12=9=6-4(8,14)-7-1-13=10-2,3,5","11-12=9-6-4,8-14=1-7=13=10=2-3-5","11-12=9,6,4,8-14=1=7-13=10=2=3-5"
201005020505,,"4-8(10,13)(1,9,14)(5,12)(2,6,18)11-(7,17)-3   15,16","4-8-13,10,14,1,12(2,9,18)(5,11)7,6,17-3   15,16","4,8,13-(10,14)(1,12)18,2(9,11)(7,5)(17,6)3   15,16"
201005020506,,,"(*7,12)(2,8,14)(5,15)(1,11,13)(9,10)16(3,6)   4","(*7,12)14(2,15)8(5,11,10)1(9,6)3(16,13)   4"
201005020507,,,"(*8,10)(9,12)(5,6,13)4,3(2,7)-(1,14)11","(8,*10)12(5,9,6,13)4(3,2)7-1-11,14"
201005020508,"7-8(3,9)(2,6)(5,10)4   1","7-8-3(2,9)6(5,10)4   1","7(8,3)(2,6,9)(5,10)4   1","(7,*8,3)2(6,9)(5,10)4   1"
201005020509,,,"9-5,7,3,12(11,13)(1,8,10)(2,4)-6","9,5(3,7)(12,13)11(8,10)1(2,4)-6"
201005020510,"12,10(4,11)(1,7,13)(5,14)(3,15)16,2,9-6,8","12-10,4,11,1,7,13(5,3,14)15,16,2,9-(6,8)","12-10,4(11,7)1(3,13)5(16,14)(2,6,15,9,8)","12(10,7)(4,13)11(1,3)(5,14,8)(16,9)(2,6)15"
201005020511,,"8,17,4,18(2,11)(6,9)(3,5)7(1,10)13,12(16,15)14","8-17-(4,5)18(2,11)9(6,7,15)(3,1,12)10(13,16)14","8,17(4,5)(2,11)(6,18)(9,7,15)12(3,1,10,16,14)13"
201005020512,,,"(*16,11)(10,14)-(9,4)(2,5,15)3(13,12)7(8,6)1","(16,*11,14)-9(10,4)-2(5,15)(13,12)(8,3,6)7,1"
201005020601,,,"13,2(4,11,12)(1,6)(5,7)(3,14)(9,16)-10,8-15","(2,*12)13-(4,11)-(1,6)5,14(3,7,16)9,8,10-15"
201005020602,,,"1,2(15,13)(6,9)(3,14)-(5,8,12)-(7,4)11-10","1,2(15,13)6,9(3,14)(5,8)(4,12)7,11-10"
201005020603,,,"8,11,15,12(9,10)-(2,5,13)-(7,14)-16-4,1,3-6","8,11,15(9,12,10)(5,13)2(7,14)16-1,4,6,3"
201005020604,"2,11-(6,8)9,1-10,3,7,4-5","2,11=6,8(1,9)-10-(3,7)4-5","2,11,9-6,1(8,10)7(3,4)5","(*2,11)-(9,1)-(6,10)-(3,7)(8,4,5)"
201005020605,,"6(2,9)10,1(7,11)(4,8)(3,5)","6-9,2,10(1,11)(4,7)-(3,8)-5","6-9(2,10)(1,11)(4,7)(3,8)-5"
201005020606,,,"1-(4,13,9)-11(10,12)7,8-5-6-3-2","1,9(4,13)=(10,12,11)(7,8)-5-6-3-2"
201005020607,,,"12(3,10)5,2(14,16)(1,11)13(7,8,15)9-4,6","12(3,10)(2,5)(14,16)1(11,13)(7,9,8,15)4=6"
201005020608,,,"14(3,5)-10(11,15)7(16,13)-12-(2,6)-8,9,1,4","14(3,5)-(11,10)(7,15,13)16,12-(2,6)-8(1,9,4)"
201005020609,,"6,10,1(2,4,8)9-(3,5,7)11","6,10(1,2,8)4,3,9,5,11,7","6,10(1,8)2,4,3,9(5,11)7"
201005020610,,,"4,6(3,9)(7,12)16(2,10)(5,14)8(1,15,11,13)","4,6,3,9,7,12,16-(2,10,14)(5,11)8,1(15,13)"
201005020611,,,"17-(2,4,12)-5,8(1,3,11)(6,15)16(10,9,14)-13-(7,18)","17-(2,4)12-(1,5,8)(16,3,11,15)(9,6,14)10,13-(7,18)"
201005020612,,,"(*10,7)(1,6)(3,12)2(5,13)(4,8)14,9,11","(*10,7)3(1,6,12)(2,5,13)(4,8,14)(9,11)"
201005020701,,,"(*11,15)(7,13,14)(3,10,9)(1,6)(8,12,16)(2,5)4","(*11,15)14(7,13)9,3(6,10)1(8,12,16)2(5,4)"
201005020702,"3,7(1,8)5,9,2,10(4,11)-6","3,7,8-1-5,2,9,10,4,11-6","3(7,8)(1,2,6)5(10,11)-(4,9)","(*3,8)(7,2)6,1-5-10-11,4-9"
201005020703,,,"4,10(1,14)(3,9)(2,12,11)8(6,7,13)=5","(*4,10,14)(1,9)(3,12)(2,8,11)(6,7,13)-5"
201005020704,"13(2,6)=12(7,10)-8=9-14-1-4(11,5)=3","13(2,6)-(12,10)(7,8)-9-(14,1)-(4,11)5=3","13-2(6,10)-12-8(7,9)(1,4)=5,11=14=3","13(2,10)-12(6,9)-(7,8)-1-5=11=14=3   4"
201005020705,,,"1,15,16(5,8,14)-3,13-(9,18)11(6,10,12)7,4(2,17)","1,15,16(5,8)14(3,13)-18,11,9,10,12(6,7,4)2-17"
201005020706,,,"3,14(2,13)5(4,8)(15,17)7,18(12,9,11)1,16-(6,10)","3,14(2,13)5(4,8)(7,15)17(12,18)(1,9,11)-(6,16)-10"
201005020707,,,"7,12,2(1,6)5(8,15)16,11(9,10,14)(3,13)4","7-12,2-(1,6)(5,8,15)(11,16)(10,14)(9,3,13)-4"
201005020708,"(*2,4)3-(1,5,11)-6-10(9,7,8)","(*2,4)3-(1,5)11,6,8(10,7)9","(*2,4)(3,1)(6,5,11)(10,8,7)9","(*2,4,1)(3,6,11)-(10,7)(8,5)9"
201005020709,,"8(1,9)(5,6,12)(2,7)(3,4)10-11","8,9(1,12)(6,7)5(3,4)(2,11,10)","8,9,12(1,7)6(5,4)3(2,10)11"
201005020710,,,"(*1,11)(4,12)8,3,5(2,6,9)13(7,10)","(1,*11)(4,12)8(3,5)(2,9)(7,6)13,10"
201005020711,,,"7,15,2(4,17)(3,9,18)(13,12)8,16(1,6)(10,5,11)   14","7,15-2,17,4,9(3,18)(8,13)(1,12)(6,16)(10,5,11)   14"
