レースID,1コーナー,2コーナー,3コーナー,4コーナー
200201010509,,,"(*2,6)7,3(9,12,16)(4,5,10,14,15)(1,11,13)8","(2,*7)(3,9,12)(10,16)(4,15)(1,11,14,13)(6,5)8"
200201010510,,"(1,*3,5,9)(7,10)(2,4,6,11)-8","1,10(5,11)(4,7,9)3(2,6)8","(*1,10)-11(4,9)-7-6(5,8)-2-3"
200201010511,,,"7,3,15,1(5,10,13)(9,8,14,11)2(12,16)-(4,6)","7,3-(1,15)-(10,13)9(5,8,14)(2,12,11)16(4,6)"
200201010512,"5,6(3,4,7)-(2,8)13(9,11)(1,10)-12","5,6(3,4,7)(2,13)8-(9,11)10,1-12","5(6,7,2)(3,4,13)8(9,11,10)1-12","5(6,2)(3,13)7(9,4,8)-11(12,10,1)"
200201010601,,,"(*6,7)(4,11,9)3(8,12)-(5,10)-2-1","(*6,7)-(4,11)9-8,12(5,10)-3-2-1"
200201010602,"3,5,7,9(8,12)(11,13)-6(4,10)-(1,2)","3,5(8,7,9)(11,13,12)-6,4,10,1,2","3(5,9)8,13,12,7(4,6)11(1,10,2)","3(8,5,9)13-(7,4,6)2(11,12,10)1"
200201010603,"13(2,5)(6,7)1(4,3,11)10(8,9)12","13,2,5,7(1,6,11)3(4,10)(12,9)8","(*2,5,7)(13,6,3)(1,11)12(4,10)-(8,9)","(*2,5,7)(12,3)(6,10)11(1,8)4-(13,9)"
200201010604,,,"(*8,11)(6,10,9,13,14)(3,7,15)(1,12)(4,5)2","(8,*11)(9,3)10,14(6,13,15)(1,2,7)(4,5)12"
200201010605,"10(12,13)3(4,6)(1,7)(8,11)(2,5)9","10(3,12,13)(4,6)(1,7)(8,11)-(2,5)-9","10(12,13,6)(3,4,8,7)(1,11,9)(2,5)","(10,*12)6(4,8,9)13(1,2,11)5,7=3"
200201010606,,"(*1,8)(7,9)(4,6,10)(2,3,11,12)-5","1,8(7,4,9,10)(11,6)2(3,12)-5","1-8(9,10)4(11,6)(7,2)(3,12)5"
200201010607,"2(4,5)6(7,10)9,11-3(12,14)(1,8)13","2,4(6,5)7,10(11,9)3-12(1,14)8,13","2,4(6,5)(7,3)(11,10,9)-(1,12)(8,14)-13","2(6,4,5,3)7(11,9)12(1,10,14)8=13"
200201010608,"3,13,9(2,8,11)4,6(1,10,7)-12-5","3-13(2,9)(8,11)4(6,10)(1,7)-12-5","(*3,13)9,2(8,11,10,7)(4,6)1(5,12)","3(9,10)(2,13,8,7)11(4,6)(1,5)12"
200201010609,,,"(*2,6)(11,12)5(4,14)1-(10,16)(8,9)(3,15)7   13","2,6(5,12)14(1,11,8,4,10)(9,16)15-3-7   13"
200201010610,"6,3-5(2,9)7-8(4,14)-(10,11)-(13,12)-1","6,3(2,5)(7,9)8,14(10,4,11)-(13,12)-1","(*6,3)5(2,9)7(14,8)(4,11)13(10,12)1","(6,*3)5(7,9,4,11)(2,14,8)(13,12,1)10"
200201010611,,,"1-2(3,10)(4,6,8)-(7,9)-5","1(3,2)(4,10,8)6(7,9)-5"
200201010612,,,"(2,*7)10(1,12)-(11,6,9)(5,3)8-4","(2,*7)10-1,12(11,6)(5,9)3-8-4"
200201010701,"12,2,3,6(4,13)(1,5,10)14(8,9)11,7","12,2(4,3)6(1,13,14)(8,5,10)(9,11)7","12(2,6)(4,11)(1,3)(13,14,10)(8,5)(7,9)","12(2,6)4,11,1(10,5)13,8(7,14)9-3"
200201010702,,,"10,4(1,8)(2,6)7(9,11)3=5","10(4,8)1-2(3,6,7)(9,11)-5"
200201010703,"13,12,8(3,9)4,7,1(10,11)(5,6)-2","(*13,12)(8,9)(3,4)(1,7)-11(10,6)5,2","13,9(8,12)(1,3,4)7-(10,11,6)(5,2)","9-(13,8)-(1,12)3-(10,7)(5,4,11,2)-6"
200201010704,,,"(10,12,*16)(11,13)9(6,5,15)2(1,14)(4,8)-7=3","(10,12,*16)(11,13)15(9,14)(6,5)(2,1)(4,7)-8=3"
200201010705,,"1,3-(2,12)(6,8)(4,5,7)9(10,11)","1,3(2,12)5,8,6(9,7)(4,11)10","1,2(5,12)3(6,8)4,11,9,10=7"
200201010706,"5,9(1,4,7,10)(12,11,13)6(2,8)-3","5,9(1,7)(4,10,13)12(2,11)6,8-3","5,9(1,4,7,10,13)2(6,12,11)(8,3)","(*5,9)13(1,4,11)6(2,10,12)7(8,3)"
200201010707,,,"1,2(5,7,10)(11,12)-9(4,8)-3,6","(*1,2)10(5,7,11,12)-(9,8)-3,6-4"
200201010708,"13,4,5,7,1-(10,12)-11,8,2,14,9-3,6","13,4,5,7,1(10,12)-(11,8)2(9,14)-3-6","13-(4,5)7(10,1,12)(11,8)(2,9,3)6,14","13-(5,12)8-1-(7,11,9,3)10(4,2)6-14"
200201010709,"2,11-(3,4)(5,8)12(9,13)(1,6)10-7","2,11(3,4)(5,8)(12,13)(1,9)(6,10)-7","(*2,11)(3,4)(5,8)(9,12,13)(1,10)(7,6)","(*2,11)(3,4)(5,8)(9,10)1-(7,13)6-12"
200201010710,,,"(*4,6)(3,5,8,9)(7,10,11)14(2,13)(12,16)(1,15)","(*4,6)(3,5,8,9)(2,7,10)11(1,14)(13,12,16,15)"
200201010711,"2(7,11)6(8,12)13(3,9)(4,5,10)1","2-6(7,11)-(8,12,13)9(3,4,10)5,1","2,6,7,8(11,13,10)(12,9)(3,4,5)-1","2-6(8,7)(12,13)(3,9)(4,5)-10,11,1"
200201010712,,,"1,12(2,11)10(5,13)(6,9,14)(15,16)(3,8)-(4,7)","(*1,12)(2,11)(5,13)(6,10,9,8)(3,14)16(4,7)-15"
200201010801,"(*3,6)(8,10)12-(2,9)(5,7,11)4-1","3,6,8,10(2,9,12)(7,11)5,4,1","(*3,6,8)(2,12,11,5)(9,7,1)4-10","(*6,8)-(3,2,5)7,1(9,12,11)4=10"
200201010802,,,"12(14,15)(1,11,13)(7,10,9,16)6(2,8,3,5)-4","12(14,15)11(1,7,13)16(2,10,9)(6,8,3,5)4"
200201010803,,,"2,3(1,4)(8,9)(5,6,12)7(10,11)","2,3,1-(5,4)(8,9)-10-6,12(7,11)"
200201010804,,,"(*8,9)-(1,2)-(4,6)11,5,3,7-10","(*8,9)(1,2)(5,4)6,11-3-7-10"
200201010805,,,"(*14,7)(6,15)(4,5,8,11)(1,3,2,10,9)-12-13","14(7,15)6(8,11)(4,2,9)(1,5)(3,10)-12,13"
200201010806,"2(7,11)(5,10,12)(1,4,13,14)6,3-8,9","(2,*7)11,10(1,4,12)(5,13)(6,14)3-8-9","(2,*7)10(1,4,12)(6,11,13,14)(5,3,9)8","7=(2,13)(4,12)(1,10)(6,5)(8,3,14)(11,9)"
200201010807,,,"(*2,7)12(3,8)9,4,5(1,6,11)10","(*2,7)(12,8)3-9,4,5(1,10)11,6"
200201010808,"13(3,4,8)-(1,2)(5,7)9(6,10)12,11","13(3,4)(1,2,8)(5,7)(6,9)10,12-11","13(3,4)(1,2,7,9)(6,5,8)12(11,10)","13,9(1,4)3(6,2,7)(5,12)-11-10,8"
200201010809,,,"(14,10,*13)-4,1,3(9,11)(2,6,8)(5,12)=7","(*14,10)13-(1,4)-(2,3)(5,9,6)(8,11)-12=7"
200201010810,"7,11(10,9)(5,1)8,3,4,2,6","7,11(5,10,9)1(3,8)-(2,4)6","(*7,5)(11,10)9(3,1)8(6,2)4","(*7,5)-(1,11,10)9(3,2,8)-(6,4)"
200201010811,"7(3,8,11,12)(4,10)(9,13)(1,5)14-2-6","7(8,10)(3,4,12)(9,11)13,5(1,14)2,6","(*7,8)(10,12)(3,4,11,13)9(1,5,14,2)6","(*7,8,12,13)(3,4,11)(10,9,14)1(5,2)6"
200201010812,"(*2,10,11)9,4,3(1,5)12-8(6,13)7","(*2,10)11,9(4,3,5)-(1,12)-(8,13)7,6","(*2,10)(11,9)(3,5)(4,7)(12,6)(1,13)8","(2,*10)-(3,9,5,7)11,12,6(13,8)4-1"
200201020101,,,"10(1,4)7,9(2,8)5,6,3","10-(1,4,7)-2,9(8,5,3)6"
200201020102,"11(9,10)4,8,2(3,6,12)1,13,5-7","11(9,10)(4,8)(3,12)(2,6)(1,13)(5,7)","(*11,10,8)(4,13,7)(12,5)(3,6)(9,2)1","(*11,10)8,4-13-(5,6,7)12-(3,2)-1-9"
200201020103,,,"(*3,4,9)-12,10,11,2-5,6(1,7)=8","(*3,4)9,12(10,11)-2-1-(6,7)-5=8"
200201020104,"(*6,12)(8,9,11)(2,4)7(5,13)(1,10)-3","(*6,12)(8,9,11)-2(4,7)-(5,13)-1-10-3","(*6,12)8(9,11)-(2,4,7)(5,13)-1-3-10","(6,*12,8)-11-2(4,7)5(9,13)-(1,3)=10"
200201020105,,,"7,10(2,11)(4,16)-12,14(1,15)(8,9)13,3(5,6)","7,10(2,11)(4,16)-(12,14)-15,1,9(8,13)-5,3,6"
200201020106,,,"6-2(12,13,15)8(7,16)(1,4,11,14)-(5,10)(3,9)","(*6,8,2)-13,15(12,16,11)(7,14)4(1,5,10)-3,9"
200201020107,,,"3,11(1,10,12)-9,8(6,7)(5,4)2","3,11(1,10)12,9-7,8-(5,4)6,2"
200201020108,"(*10,12)1,11(4,5)7-6,8,3,2-9","10,12,1,11,5(4,6,7)-8-3-(2,9)","10(1,12,11)(4,6,5)(8,7)-3(2,9)","(*10,11)-(1,6)(4,8)5(12,7)3(2,9)"
200201020109,"(12,*13)3,10,11,7(1,8)(4,5,9)-6,2","13(12,3)10,11-(7,8)1-(4,5)9(2,6)","13(3,10)11(12,7)(5,8)1,4,6(2,9)","13,10-(7,11)3(12,1,5,8,6)4,2-9"
200201020110,"10(6,11)(1,4)(2,3)(8,12)5(7,9)","10,6,11(1,4)-(2,3,12)8(5,9)7","10,6(1,11,4)2(3,12)(9,7)(5,8)","10,6(1,4)(2,12)11(3,9)7-8,5"
200201020111,,"11,2,6(4,8)(1,3,5,7,10,12)-9","11-(2,6,8)(4,5,10)(1,12)(3,7)9","11-(2,8)6(4,5)(1,10)(12,7)-(9,3)"
200201020112,"1,7-2,9-(5,8)(4,10)6,3","1,7(2,9)-(5,8)(4,6,10)3","(*1,7)(2,9)(5,8)(4,10)3,6","(*1,7)(2,5,9)(4,8,10)6,3"
200201020201,"(*6,9)(8,11)(10,13)12,1,4,5,2,7=3","(*6,9)(8,11)(10,13)12,1,4,5,2,7=3","(*6,9)(11,13)(1,8,7)(4,12)10,2,5-3","6,9(1,13)(8,11)(2,4)7-12(3,5)-10"
200201020202,,,"4-16-(3,8)(2,9)(10,15,13)(6,14)(7,12)(5,11,1)","4-16(8,13)(2,15)9(10,3,12)14,7(6,11)(5,1)"
200201020203,,,"9,12-10(3,6)2,7,8,11=5=4=1","9,12=(3,6)7,10,2-11,8=5-4=1"
200201020204,,,"8-(1,4,6,10)(2,11)(12,13)14(5,7)-9-3","8=10,1,4,6,5(2,11,13)7(9,14)12-3"
200201020205,"4,11,10,2,9,1,7(6,12)3,8-5","4,11,10(2,1,9)(3,7,6)(8,12)5","4(11,2,10)(1,9)(3,7)(8,12,6)-5","(11,*4)10(3,2,9)(1,7,12)8-6-5"
200201020206,"13=(1,8)-(5,16)3(7,6,9)-(2,14)11,12(4,10)-15","13=1,8-(5,16)-(7,6)(3,9)(2,14)-(11,12)(4,10)-15","13-1,8(5,7,16)6(2,9)(11,14,12,10)-(4,15)-3","7(13,16)(9,6,10)(14,1)(8,12)(5,2,11,15)4=3"
200201020207,,,"(*2,11)12(1,8,10)7,3(4,5,6,9)","2(11,12)-1,10,8-7,3(4,5,6,9)"
200201020208,"11-(8,10)(1,9,12)(3,7)(4,5)-(2,6)","11-(8,10)(1,12)9,7,3,5(4,2,6)","(*11,8,10)(1,9,7)12,3(5,2,6)4","10(8,1)(11,9,7,6)(3,2)4(5,12)"
200201020209,"1,2,3-4(6,9)(5,10,12)(8,14)(7,13)11","1,2,3,6,4(5,9)(10,12)(7,8,13,14)11","1,2,3,6-5,10-(4,13,9)(7,14,12)8,11","(*1,2,3)6,10,5-(13,9)14(7,12)(8,11)4"
200201020210,,,"16,13(4,8,14,15)(7,10,11)(2,3,6,9)12(1,5)","16(13,15)(4,8,14)(7,9,11)(3,6)(2,10)(1,5,12)"
200201020211,"8(9,6)10(3,4,1)7(5,2)","8,6,9,10(3,1)4(5,7)2","8(9,6)(3,4,7)(5,10)2,1","(*8,3,7)(9,6)2(5,4)-10=1"
